name,est_diameter_min,est_diameter_max,relative_velocity_mean,miss_distance_mean,miss_distance_min,absolute_magnitude_mean,hazardous,observations,est_diameter_range,est_diameter_mean,est_diameter_min_log1p,est_diameter_max_log1p,est_diameter_mean_log1p,est_diameter_range_log1p,relative_velocity_mean_log1p,miss_distance_mean_log1p,miss_distance_min_log1p,hazardous_enc
(1998 MR24),0.3841978911,0.8590926012,56192.1141318422,56551430.56956178,56551430.56956178,19.2,False,1,0.4748947100999999,0.6216452461499999,0.3251208318729554,0.620088519870955,0.4834412179309239,0.3885866042608459,10.936549504030618,17.850661075317596,17.850661075317596,0
(1998 MS2),0.2210828104,0.4943561926,40080.941477743,40625757.36721434,40625757.36721434,20.4,False,1,0.2732733822,0.3577195015,0.1997380146141961,0.4016954736891048,0.3058064551506104,0.2415910508000952,10.598681174649013,17.5199128659406,17.5199128659406,0
(1998 QA62),0.4212646106,0.9419763057,106039.756456916,22715397.87156901,22715397.87156901,19.0,True,1,0.5207116951,0.68162045815,0.3515470461353097,0.6637061688163278,0.5197578869502281,0.4191784457377155,11.571578794071558,16.938553616852815,16.938553616852815,1
(1998 QH1),0.1925550782,0.4305662442,32681.7370803404,55271707.8875917,55271707.8875917,20.7,False,1,0.238011166,0.3115606612,0.176098129883576,0.358070340859454,0.2712177725528912,0.2135061936078365,10.394602299455157,17.827771742231263,17.827771742231263,0
(1998 QQ),0.4836764882,1.0815335068,107753.62163552616,50474043.51480904,34045545.44243456,18.7,False,3,0.5978570186000001,0.7826049975,0.3945231211145349,0.733104884953069,0.5780757761998354,0.468663368121913,11.58761189925521,17.73696979211395,17.343209787363275,0
(1998 QQ52),0.1572370824,0.3515928047,47404.1363908349,63422071.14092894,63422071.14092894,21.14,False,1,0.1943557222999999,0.25441494355,0.1460353385424675,0.3012837523013595,0.2266692834496171,0.1776068954739793,10.7664858644882,17.965322499844547,17.965322499844547,0
(1998 QV3),0.2111324448,0.4721064988,35913.1994541614,54738856.6107391,54738856.6107391,20.5,False,1,0.2609740539999999,0.3416194718,0.1915558267162139,0.38669436741783,0.2938774452855798,0.2318844810375543,10.488888024246872,17.818084391990006,17.818084391990006,0
(1998 SH2),0.1838886721,0.411187571,54435.81225438685,36795207.28060012,32612795.987605777,20.8,True,2,0.2272988988999999,0.29753812155,0.1688045050984363,0.3444315988336452,0.2604687163970132,0.2048157374482676,10.904795899841332,17.420878184894832,17.300215314943134,1
(1998 SL36),0.2401900301,0.5370812349,50077.91872729416,25328809.06142788,3206165.228712383,20.22,True,3,0.2968912048,0.3886356325,0.2152646179559966,0.4298853160550442,0.3283217057452383,0.2599700196263307,10.82135541463223,17.047453043433716,14.980586460062776,1
(1998 SU4),0.1460679643,0.3266178974,79305.02557822241,48986460.309605874,10521280.414854132,21.3,True,6,0.1805499331,0.23634293085,0.1363369222059382,0.2826327691987747,0.2121577726967838,0.1659803749123319,11.281069389329224,17.707054518093116,16.168910565351545,1
